k/beta,P(k/beta)
0.01,6.9565405311653e-05
0.010069386314760276,7.102235911793087e-05
0.010139254075588154,7.250981004697796e-05
0.010209606623060466,7.402839587684563e-05
0.010280447320933092,7.55787677024807e-05
0.010351779556301762,7.716159021305028e-05
0.010423606739764018,7.877754197584926e-05
0.010495932305582278,8.042731572194339e-05
0.01056875971184804,8.211161864603237e-05
0.010642092440647241,8.383117270421889e-05
0.010715933998226712,8.558671492211805e-05
0.010790287915161841,8.737899770850169e-05
0.010865157746525383,8.920878917543415e-05
0.010940547072057424,9.107687346506537e-05
0.011016459496336563,9.29840510831514e-05
0.011092898648952227,9.493113923952412e-05
0.011169868184678232,9.69189721955645e-05
0.01124737178364752,9.894840161890178e-05
0.011325413151528114,0.00010102029694542339
0.011403996019700324,0.00010313554574879518
0.011483124145435111,0.00010529505411762274
0.01156280131207376,0.00010749974704038614
0.011643031329208768,0.0001097505687983803
0.011723818032865985,0.00011204848336132324
0.011805165285688049,0.00011439447481820967
0.011887076977119033,0.00011678954776296523
0.011969557023590434,0.00011923472774217313
0.012052609368708425,0.00012173106168499765
0.012136237983442405,0.0001242796183473912
0.01222044686631488,0.0001268814887654606
0.012305240043592616,0.0001295377867182249
0.012390621569479163,0.0001322496491998923
0.012476595526308698,0.000135018236901899
0.012563166024741208,0.00013784473470215808
0.012650337203959031,0.00014073035217798829
0.012738113231864785,0.00014367632410248394
0.012826498305280605,0.00014668391097822273
0.01291549665014884,0.0001497543995684508
0.013005112521734093,0.00015288910344186702
0.01309535020482667,0.00015608936352777097
0.013186214013947485,0.0001593565486872304
0.013277708293554298,0.00016269205628674434
0.013369837418249465,0.00016609731279298547
0.013462605792989104,0.00016957377437518196
0.013556017853293682,0.00017312292752074405
0.013650078065460139,0.00017674628966364987
0.013744790926775373,0.0001804454098256573
0.013840160965731315,0.0001842218692707635
0.013936192742241428,0.00018807728217307124
0.014032890847858725,0.0001920132962984229
0.014130259905995337,0.00019603159369996562
0.014228304572143526,0.00020013389142809176
0.014327029534098309,0.0002043219422535043
0.014426439512181581,0.00020859753541190593
0.014526539259467812,0.00021296249735053082
0.0146273335620113,0.0002174186925033955
0.014728827239075025,0.0002219680240757226
0.014831025143361045,0.00022661243484582832
0.014933932161242525,0.00023135390798335916
0.015037553212997384,0.0002361944678843844
0.01514189325304352,0.00024113618102351763
